#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512741.1160183721,103800.21104852384,297.31911649867493,405.2340233600609,0
200000,400.00000000118183,-513930.388560954,104055.06890597171,298.0491161031432,402.924737172156,262
300000,599.9999999996356,-513316.4546553041,104916.57817187952,300.5167717197141,404.4149635180589,262
400000,799.9999999949063,-512871.7772951084,105403.45971369301,301.9113660889281,403.7758094600085,262
500000,999.9999999901769,-513451.6119839186,104322.87487174256,298.81620349469813,403.136996291117,262
600000,1199.9999999854476,-514038.54026966356,104625.59240881016,299.68328950310246,402.8341900138426,262
700000,1399.9999999807183,-514286.9151002113,104307.47634989378,298.7720968896612,403.9310837366825,262
800000,1599.9999999759889,-512419.9084719778,105732.81326190569,302.8547466946238,405.5797676005566,262
900000,1799.9999999712595,-513395.00333265867,104161.18707648758,298.35307464410886,405.77771732823527,262
1000000,1999.9999999665301,-512732.3627609033,105107.70085886854,301.06421211375977,405.9032771571337,262
1100000,2199.9999999618008,-514121.7942430149,103850.39509739564,297.462860686882,403.6339371230758,262
1200000,2399.9999999570714,-513067.135701729,104793.67555344437,300.1647368099639,405.12586028915774,262
1300000,2599.999999952342,-513222.2836268842,104379.95980442374,298.9797141617643,403.70515967815965,262
1400000,2799.9999999476127,-513751.8355094916,104299.24205225776,298.74851105998516,405.23831194199425,262
1500000,2999.9999999428833,-512216.7341109845,103972.6375761113,297.81300473190095,405.9566857541198,262
1600000,3199.999999938154,-513278.89448088175,103559.32814145507,296.62914590626605,404.9841846522091,262
1700000,3399.9999999334245,-513722.3191008358,104157.31357501203,298.34197961814664,404.08421381733103,262
1800000,3599.999999928695,-513224.5832150234,105073.68022973218,300.9667654583496,404.6420913085293,262
1900000,3799.999999923966,-513832.3704389897,103864.02343243279,297.50189687468605,403.83259706663995,262
2000000,3999.9999999192364,-514535.50228048814,105904.99226956267,303.3479259465645,403.88399715874743,262
2100000,4199.999999938153,-512952.47000528127,104567.90365111176,299.51804927577024,404.30784353337725,262
2200000,4399.999999978899,-513340.69855246134,105568.70371943933,302.38468113616085,403.78679884702825,262
2300000,4600.000000019644,-512621.0522142332,104638.0988505935,299.71911220696796,404.43630626862955,262
2400000,4800.0000000603895,-513785.55445566215,105531.56312262674,302.27829783193624,403.17978286121513,262
2500000,5000.000000101135,-513507.78034224035,104822.80443351454,300.2481718319121,403.28752588966654,262
2600000,5200.00000014188,-513161.6162551446,105278.39580490917,301.55314050836455,404.6725019251738,262
2700000,5400.000000182626,-512804.0611502002,105155.87570961137,301.20220127501125,405.20659615414246,262
2800000,5600.000000223371,-513112.6580063775,104518.48008159266,299.3764833591387,403.6878084683235,262
2900000,5800.000000264116,-511935.81042278,103858.29653480928,297.48549309164457,404.57521860619784,262
3000000,6000.000000304862,-513113.59288774617,104728.45085065614,299.97791107222224,405.448238180964,262
3100000,6200.000000345607,-513759.7881299411,104976.69574534887,300.6889689016793,403.4953782756657,262
3200000,6400.000000386352,-512805.08934744867,104324.88056457692,298.82194848129745,404.74637603327835,262
