#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513806.6759456396,105116.80502450062,301.1010458391535,401.87163305280836,0
200000,400.00000000118183,-513445.6623727316,104846.740382575,300.32746119577484,405.53640289913204,262
300000,599.9999999996356,-512707.63442964666,104195.30039454027,298.4614487950652,404.0671684437843,262
400000,799.9999999949063,-514164.57371614873,105198.8749705375,301.3361304821648,405.9717854517537,262
500000,999.9999999901769,-513094.2279315293,104553.57255797749,299.48769881361227,403.7747250926706,262
600000,1199.9999999854476,-514340.8319366281,104929.80900594807,300.5654064926113,402.40387562012774,262
700000,1399.9999999807183,-513706.6542049283,105451.17511044364,302.05882973061887,405.8546264066345,262
800000,1599.9999999759889,-513118.55989327,105116.96809933038,301.1015129576298,405.1639462971909,262
900000,1799.9999999712595,-512740.68231352465,104954.47481547238,300.6360602861937,403.3279207329511,262
1000000,1999.9999999665301,-512779.46934090136,105596.96598149667,302.4764393006362,403.5317882062444,262
1100000,2199.9999999618008,-514175.99259413546,104705.81399538554,299.9237856601725,404.43681419638733,262
1200000,2399.9999999570714,-514707.22607095214,104404.61908439163,299.0610301504273,402.4532201896568,262
1300000,2599.999999952342,-513212.84373405203,104501.34681242408,299.33810116743007,404.1078094975105,262
1400000,2799.9999999476127,-514291.25211390434,105195.96914186969,301.327806902974,404.0507177764719,262
1500000,2999.9999999428833,-513343.25297413487,105280.13744312461,301.56890216389303,404.1904266056288,262
1600000,3199.999999938154,-514116.5829070518,103998.64705234993,297.89814660006914,404.0743710272828,262
1700000,3399.9999999334245,-513187.68862332543,104348.19602383007,298.8994095366675,404.58447464340406,262
1800000,3599.999999928695,-513741.6037161709,105114.10088407516,301.0932999843398,404.0714619927223,262
1900000,3799.999999923966,-512385.0269638682,104637.39590753069,299.7278059802097,404.43200083966383,262
2000000,3999.9999999192364,-515027.4034490851,104407.14316342026,299.06826022971984,403.8898473192883,262
2100000,4199.999999938153,-513188.09017507825,105445.07121664705,302.0413454776927,403.9336068834009,262
2200000,4399.999999978899,-514032.9089109367,105132.10633904143,301.14487557513036,402.80954314296594,262
2300000,4600.000000019644,-513736.6950142472,105477.23970365606,302.13349025967324,404.2684876922287,262
2400000,4800.0000000603895,-512649.0648226836,105208.10449131398,301.3625679139127,404.6368697115967,262
2500000,5000.000000101135,-515738.63364834944,104564.3523269472,299.51857684220084,402.88252759544275,262
2600000,5200.00000014188,-513214.5710417996,105093.55647240055,301.0344516979984,405.092116043386,262
2700000,5400.000000182626,-512426.06584532326,104251.57854066708,298.6226543097564,405.5147934808392,262
2800000,5600.000000223371,-513381.5862572603,104728.71718877612,299.9893905411557,403.16726216835156,262
2900000,5800.000000264116,-512951.53743966203,104370.70566045896,298.96388709692854,404.36052403694566,262
3000000,6000.000000304862,-511628.93297290476,104938.21677310561,300.58949005835245,405.14664793667663,262
3100000,6200.000000345607,-514488.93403642485,103859.91380341625,297.50075318293796,402.2165028447846,262
3200000,6400.000000386352,-513194.94037279906,104321.55090286105,298.8230861192233,405.6733170143574,262
3300000,6600.000000427098,-512721.7893632469,103629.74707722687,296.8414538258385,404.6754891282715,262
3400000,6800.000000467843,-513810.6556535503,104953.3347620347,300.6327946686522,401.7362074917315,262
3500000,7000.0000005085885,-513743.6102663879,103742.60843168324,297.1647386883657,403.72136206563886,262
3600000,7200.000000549334,-513772.26766671194,103637.56243024571,296.8638404553316,405.521576931186,262
3700000,7400.000000590079,-514555.66457404615,104047.81402387482,298.0389825638661,404.62288638719303,262
3800000,7600.000000630825,-513216.9879319235,104645.8748604168,299.7520934533786,404.472482287678,262
3900000,7800.00000067157,-513448.19076141436,104161.18150653012,298.3637172015267,405.1806912196939,262
4000000,8000.000000712315,-513917.7022893019,105099.13292803231,301.0504251346188,404.127587310999,262
4100000,8200.00000075306,-513333.9591061217,105293.03062683543,301.6058339475277,404.1615954428893,262
4200000,8400.000000793805,-513571.634891273,104156.46327703982,298.35020210435727,403.92736013808167,262
4300000,8600.00000083455,-512150.33908103686,104179.1276957246,298.41512302892056,403.8988377724341,262
4400000,8800.000000875296,-514861.71993270004,104405.9788247064,299.0649250484006,402.9747877266596,262
4500000,9000.000000916041,-513855.4894210417,104798.47002488415,300.1891935307678,404.12239509899257,262
4600000,9200.000000956787,-513820.138486465,104159.16267472293,298.35793437385814,404.6966451799349,262
4700000,9400.000000997532,-513241.6629307121,105029.12903245632,300.8499029995917,404.5180112262379,262
4800000,9600.000001038277,-514311.4353053053,103908.6611001899,297.6403870125331,404.7952749377029,262
4900000,9800.000001079023,-512691.72168910084,105464.35793173901,302.09659116446596,404.8252467441404,262
5000000,10000.000001119768,-514353.9992464096,104540.37836071732,299.44990479396796,402.6928347600923,262
5100000,10200.000001160513,-513334.50642455136,104162.84805382375,298.3684909304555,404.015173162375,262
5200000,10400.000001201259,-513614.63207494,104911.90378640278,300.51411802042264,404.90799665801245,262
5300000,10600.000001242004,-514164.5866964762,104839.54683731508,300.30685569886555,403.65488576762533,262
5400000,10800.00000128275,-513121.4950936781,104859.11086986726,300.3628957455633,404.4364641406231,262
5500000,11000.000001323495,-514759.5666265795,104518.64754239569,299.3876581139812,404.1815232592724,262
5600000,11200.00000136424,-514115.3578938325,105422.06456618488,301.9754442498747,404.10582968267227,262
5700000,11400.000001404986,-512977.27512016706,105310.29665004142,301.6552914785437,406.6146684763704,262
5800000,11600.000001445731,-514259.5192404934,103180.2700552867,295.5539527325994,402.93317706418054,262
5900000,11800.000001486476,-514222.98854296934,104802.77425492648,300.20152275031535,403.87796264887106,262
6000000,12000.000001527222,-513634.62427419145,105358.45451147464,301.7932369044871,405.40100218708494,262
6100000,12200.000001567967,-514608.3504270427,105048.96096276923,300.9067104240262,404.1068736837957,262
6200000,12400.000001608712,-513487.7597611747,104790.63562998956,300.1667523569162,405.8749985755336,262
6300000,12600.000001649458,-514621.4797686916,105078.48831548798,300.99128982864573,404.71890308867563,262
6400000,12800.000001690203,-512506.7453988483,104502.13671451714,299.34036379657175,404.8920894891216,262
6500000,13000.000001730948,-512377.06997475214,104575.35539580727,299.55009450049,405.47901633029954,262
6600000,13200.000001771694,-513692.8898721095,104228.66098000607,298.55700827455297,403.6823460206818,262
6700000,13400.00000181244,-514049.06557921506,105212.60289797606,301.37545334122615,405.12801229224726,262
6800000,13600.000001853185,-514006.50155061577,104366.226735375,298.9510574734759,403.0746944241443,262
6900000,13800.00000189393,-512251.9130399199,104839.38935874682,300.3064046105587,404.02822466433713,262
7000000,14000.000001934675,-513837.4307909487,105446.81917164696,302.04635239431684,403.25850418413046,262
7100000,14200.00000197542,-514354.783084346,105324.95962889027,301.6972927386227,405.0974492213091,262
7200000,14400.000002016166,-513617.04378964705,104036.09923821839,298.0054262337236,405.131074341334,262
7300000,14600.000002056911,-513110.75481472956,104638.55642352789,299.7311302115768,401.8261631191393,262
7400000,14800.000002097657,-513956.4097946952,103527.8202630963,296.5494903255532,405.07964644556574,262
7500000,15000.000002138402,-513865.8619829193,105082.71197400041,301.00338825567707,404.0353607832557,262
7600000,15200.000002179147,-513184.03169410117,104943.25991873976,300.6039358591396,405.0976445590505,262
7700000,15400.000002219893,-513401.0610752348,104978.2993234273,300.7043042197889,403.2751732738051,262
7800000,15600.000002260638,-513381.4771795282,105233.61549608561,301.43564272069887,404.43897299355416,262
7900000,15800.000002301384,-512556.1850027861,103653.67919849674,296.9100060115888,405.70930329894315,262
8000000,16000.000002342129,-512654.8423092305,104766.76840536192,300.0983860638674,404.003170603461,262
8100000,16200.000002382874,-513717.57049390767,104173.59089411689,298.3992631789727,404.6360746833977,262
8200000,16400.000002423618,-513401.1207953263,105130.45693618001,301.1401509554421,404.13898325871355,262
8300000,16600.000002464363,-513085.1689112303,105356.39654130623,301.78734196723263,403.7480680174162,262
8400000,16800.00000250511,-514322.1601849464,105010.49037238793,300.796513629183,402.3930272794312,262
8500000,17000.000002545854,-513609.2088389788,104314.74059953215,298.80357839679647,404.40653179553215,262
8600000,17200.0000025866,-512546.3832707796,103507.43164433457,296.4910882990558,405.7165940582437,262
8700000,17400.000002627345,-512697.51064821193,104816.42475432286,300.24062382120036,404.99524795907297,262
8800000,17600.00000266809,-512324.4835922825,104711.59850867683,299.9403550659994,404.15817089848565,262
8900000,17800.000002708835,-513552.0454611303,104739.11745388526,300.0191815027496,405.060587076286,262
9000000,18000.00000274958,-513091.5115659712,103843.9555289307,297.45504162296174,405.1707389136102,262
9100000,18200.000002790326,-513658.76468706364,105158.77690184678,301.2212718692523,403.9441528166494,262
9200000,18400.00000283107,-512682.1323264353,104356.54847750004,298.9233346601029,404.9079613544289,262
9300000,18600.000002871817,-513191.6889523291,104954.12301947421,300.63505258677833,402.87484194435496,262
9400000,18800.000002912562,-513951.55008950876,104368.83010242367,298.9585146687443,403.1722957040546,262
9500000,19000.000002953308,-511939.42205836345,105683.11390789214,302.7232050839807,404.0269642035418,262
9600000,19200.000002994053,-512259.52733649826,104670.72865601454,299.8232857222628,405.62584246205455,262
9700000,19400.0000030348,-514672.0610116995,104541.24310662373,299.45238180891096,402.4761115230827,262
9800000,19600.000003075544,-514498.2688852339,105002.14251722489,300.7726016779063,401.75510756920823,262
9900000,19800.00000311629,-514014.7522842479,104372.87294722954,298.9700951653064,404.26047397417176,262
10000000,20000.000003157034,-515347.62064231,104379.64744414017,298.98950032230624,403.232072306196,262
